# This file was produced by bcftools (1.2+htslib-1.2), the command line was:
# 	 bcftools gtcheck  -H test.vcf.gz
# and the working directory was:
# 	 /Users/dancook/coding/git/vcf-toolbox
#
# [1]SM	[2]Average Discordance	[3]Average depth	[4]Average number of sites	[5]Sample	[6]Sample ID
SM	0.437294	115.78	99	CX11285	64
SM	0.441189	168.06	98	QX1212	65
SM	0.442102	33.73	48	NIC207	66
SM	0.443775	108.96	97	ED3049	67
SM	0.458716	34.20	44	JT11398	68
SM	0.462116	52.22	84	MY10	69
SM	0.469151	61.36	92	ED3005	70
SM	0.470092	67.12	50	JU642	71
SM	0.473799	92.14	86	MY18	72
SM	0.475285	78.04	86	JU1400	73
SM	0.476007	38.67	63	CX11315	74
SM	0.476963	46.30	85	PB306	75
SM	0.486772	41.66	77	QX1233	76
SM	0.494403	302.96	87	WN2001	77
SM	0.496689	62.82	59	JU346	78
SM	0.499603	54.13	72	ED3048	79
SM	0.500898	39.20	86	CX11314	80
SM	0.502894	70.19	86	EG4724	81
SM	0.504810	158.92	85	AB4	82
SM	0.505651	42.50	55	JU397	83
SM	0.506254	31.62	55	JU393	84
SM	0.509704	46.62	41	JU440	85
SM	0.511509	116.81	54	JU311	86
SM	0.515815	51.31	84	CB4857	87
SM	0.520833	56.37	84	KR314	88
SM	0.527204	18.54	39	JU1395	89
SM	0.534206	78.30	94	JU258	90
SM	0.556355	42.51	85	CB4855_UK	91
SM	0.560727	73.78	72	JU1530	92
SM	0.561515	85.48	97	ED3046	93
SM	0.567286	23.87	77	JU2464	94
SM	0.568947	35.78	54	WN2002	95
SM	0.581032	96.46	91	CX11264	96
SM	0.585702	86.06	47	CB4932	97
SM	0.585960	77.63	69	EG4946	98
SM	0.598802	62.74	52	PX179	99
SM	0.613173	67.49	77	GXW1	100
SM	0.617871	123.66	17	JU1200	101
SM	0.623339	79.83	80	NIC231	102
SM	0.635071	124.27	86	CB4853	103
SM	0.640824	82.58	77	JU1409	104
SM	0.642887	119.43	78	JU1581	105
SM	0.647223	37.94	99	JU2001	106
SM	0.668092	54.50	30	JU367	107
SM	0.684049	99.09	82	JU360	108
SM	0.705161	73.10	80	JU2007	109
SM	0.707938	48.30	54	JU1896	110
SM	0.735010	44.31	42	EG4347	111
SM	0.746157	209.85	54	CB4852	112
SM	0.754521	25.74	62	JU1440	113
SM	0.770397	77.53	64	AB1	114
SM	0.775681	31.02	78	CX11262	115
SM	1.232666	40.45	5	CB4858_UK	116
SM	1.387182	36.96	93	EG4349	117
SM	2.350729	37.03	69	QG557	118
SM	3.354706	62.54	71	JU1088	119
SM	4.190513	64.58	84	LKC34	120
SM	5.165767	28.24	63	JU847	121
SM	13.050483	29.95	45	NIC166	122
SM	26.237883	36.99	62	CX11276	123
# [1]CN	[2]Discordance	[3]Number of sites	[4]Average minimum depth	[5]Sample i	[6]Sample j
CN	0	83	78.42	AB4	AB1
CN	0	17	59.00	CB4851_CGC	AB1
CN	0	4	77.50	CB4851_CGC	AB4
CN	0	86	75.35	CB4852	AB1
CN	0	82	154.02	CB4852	AB4
CN	0	6	84.50	CB4852	CB4851_CGC
CN	0	94	74.43	CB4853	AB1
CN	0	181	117.77	CB4853	AB4
CN	0	3	92.00	CB4853	CB4851_CGC
CN	0	89	119.93	CB4853	CB4852
CN	0	70	49.31	CB4854	AB1
CN	0	86	50.02	CB4854	AB4
CN	0	8	45.38	CB4854	CB4851_CGC
CN	0	70	48.53	CB4854	CB4852
CN	0	96	47.98	CB4854	CB4853
CN	0	82	38.30	CB4855_UK	AB1
CN	0	157	40.68	CB4855_UK	AB4
CN	0	16	44.19	CB4855_UK	CB4851_CGC
CN	0	68	40.57	CB4855_UK	CB4852
CN	0	145	40.36	CB4855_UK	CB4853
CN	0	81	42.91	CB4855_UK	CB4854
CN	0	69	72.13	CB4856	AB1
CN	0	88	130.42	CB4856	AB4
CN	0	41	76.98	CB4856	CB4851_CGC
CN	0	59	128.69	CB4856	CB4852
CN	0	91	120.35	CB4856	CB4853
CN	0	77	50.01	CB4856	CB4854
CN	0	94	41.79	CB4856	CB4855_UK
CN	0	74	47.78	CB4857	AB1
CN	0	172	47.51	CB4857	AB4
CN	0	6	58.67	CB4857	CB4851_CGC
CN	0	70	50.63	CB4857	CB4852
CN	0	173	49.01	CB4857	CB4853
CN	0	82	45.05	CB4857	CB4854
CN	0	147	36.94	CB4857	CB4855_UK
CN	0	88	50.55	CB4857	CB4856
CN	0	7	39.57	CB4858_UK	AB1
CN	0	1	24.00	CB4858_UK	AB4
CN	0	26	41.54	CB4858_UK	CB4851_CGC
CN	0	1	24.00	CB4858_UK	CB4852
CN	0	1	24.00	CB4858_UK	CB4853
CN	0	1	24.00	CB4858_UK	CB4854
CN	0	2	25.00	CB4858_UK	CB4855_UK
CN	0	11	42.09	CB4858_UK	CB4856
CN	0	1	24.00	CB4858_UK	CB4857
CN	0	50	64.40	CB4932	AB1
CN	0	29	87.59	CB4932	AB4
CN	0	41	74.61	CB4932	CB4851_CGC
CN	0	27	79.41	CB4932	CB4852
CN	0	28	84.54	CB4932	CB4853
CN	0	31	54.19	CB4932	CB4854
CN	0	40	45.27	CB4932	CB4855_UK
CN	0	74	80.26	CB4932	CB4856
CN	0	34	61.09	CB4932	CB4857
CN	0	10	45.80	CB4932	CB4858_UK
CN	0	46	36.78	CX11254	AB1
CN	0	89	33.56	CX11254	AB4
CN	0	7	39.86	CX11254	CB4851_CGC
CN	0	32	36.97	CX11254	CB4852
CN	0	95	35.48	CX11254	CB4853
CN	0	56	38.23	CX11254	CB4854
CN	0	89	34.25	CX11254	CB4855_UK
CN	0	86	35.31	CX11254	CB4856
CN	0	97	35.03	CX11254	CB4857
CN	0	2	44.50	CX11254	CB4858_UK
CN	0	27	41.67	CX11254	CB4932
CN	0	60	30.90	CX11262	AB1
CN	0	125	30.35	CX11262	AB4
CN	0	5	29.60	CX11262	CB4851_CGC
CN	0	54	31.85	CX11262	CB4852
CN	0	116	30.98	CX11262	CB4853
CN	0	65	32.22	CX11262	CB4854
CN	0	122	28.84	CX11262	CB4855_UK
CN	0	110	30.28	CX11262	CB4856
CN	0	119	29.50	CX11262	CB4857
CN	0	2	36.50	CX11262	CB4858_UK
CN	0	33	32.36	CX11262	CB4932
CN	0	141	28.00	CX11262	CX11254
CN	0	73	69.22	CX11264	AB1
CN	0	141	92.06	CX11264	AB4
CN	0	11	84.45	CX11264	CB4851_CGC
CN	0	57	99.42	CX11264	CB4852
CN	0	136	92.54	CX11264	CB4853
CN	0	62	50.24	CX11264	CB4854
CN	0	139	40.70	CX11264	CB4855_UK
CN	0	137	93.12	CX11264	CB4856
CN	0	140	50.81	CX11264	CB4857
CN	0	2	49.00	CX11264	CB4858_UK
CN	0	41	84.76	CX11264	CB4932
CN	0	161	33.11	CX11264	CX11254
CN	37	206	29.89	CX11264	CX11262
CN	0	75	44.87	CX11271	AB1
CN	0	113	44.84	CX11271	AB4
CN	0	13	40.62	CX11271	CB4851_CGC
CN	0	58	46.36	CX11271	CB4852
CN	0	95	45.21	CX11271	CB4853
CN	0	63	46.48	CX11271	CB4854
CN	0	103	39.07	CX11271	CB4855_UK
CN	0	84	44.37	CX11271	CB4856
CN	0	96	40.20	CX11271	CB4857
CN	0	2	39.00	CX11271	CB4858_UK
CN	0	45	48.49	CX11271	CB4932
CN	0	69	34.61	CX11271	CX11254
CN	0	83	29.89	CX11271	CX11262
CN	0	96	44.90	CX11271	CX11264
CN	25	46	39.07	CX11276	AB1
CN	25	96	35.11	CX11276	AB4
CN	0	7	35.14	CX11276	CB4851_CGC
CN	25	43	38.65	CX11276	CB4852
CN	25	97	36.11	CX11276	CB4853
CN	0	53	38.72	CX11276	CB4854
CN	25	94	33.50	CX11276	CB4855_UK
CN	25	88	34.60	CX11276	CB4856
CN	25	103	35.98	CX11276	CB4857
CN	0	2	41.50	CX11276	CB4858_UK
CN	25	37	39.68	CX11276	CB4932
CN	25	87	32.67	CX11276	CX11254
CN	0	83	28.63	CX11276	CX11262
CN	25	101	35.58	CX11276	CX11264
CN	25	82	36.00	CX11276	CX11271
CN	0	112	73.20	CX11285	AB1
CN	0	146	104.55	CX11285	AB4
CN	0	30	72.40	CX11285	CB4851_CGC
CN	0	83	111.14	CX11285	CB4852
CN	0	163	100.35	CX11285	CB4853
CN	0	83	48.83	CX11285	CB4854
CN	0	140	39.66	CX11285	CB4855_UK
CN	0	120	104.17	CX11285	CB4856
CN	0	148	48.85	CX11285	CB4857
CN	0	10	42.50	CX11285	CB4858_UK
CN	0	51	82.90	CX11285	CB4932
CN	0	93	35.05	CX11285	CX11254
CN	0	110	29.55	CX11285	CX11262
CN	0	138	87.41	CX11285	CX11264
CN	0	120	46.12	CX11285	CX11271
CN	25	99	35.84	CX11285	CX11276
CN	0	81	59.99	CX11292	AB1
CN	0	162	66.25	CX11292	AB4
