# This file was produced by bcftools (1.2+htslib-1.2), the command line was:
# 	 bcftools gtcheck  -H test.vcf.gz
# and the working directory was:
# 	 /Users/dancook/coding/git/vcf-toolbox
#
# [1]SM	[2]Average Discordance	[3]Average depth	[4]Average number of sites	[5]Sample	[6]Sample ID
CN	0	25	36.72	JU1568	CB4855_UK
CN	0	25	40.56	JU1568	CB4856
CN	0	15	48.93	JU1568	CB4857
CN	0	1	24.00	JU1568	CB4858_UK
CN	0	36	42.86	JU1568	CB4932
CN	0	11	38.09	JU1568	CX11254
CN	0	8	29.88	JU1568	CX11262
CN	0	16	46.88	JU1568	CX11264
CN	0	14	36.71	JU1568	CX11271
CN	0	12	39.42	JU1568	CX11276
CN	0	24	43.88	JU1568	CX11285
CN	0	12	41.75	JU1568	CX11292
CN	0	10	47.30	JU1568	CX11307
CN	0	11	38.64	JU1568	CX11314
CN	0	10	37.90	JU1568	CX11315
CN	0	15	33.67	JU1568	DL200
CN	0	20	44.90	JU1568	DL226
CN	0	26	41.81	JU1568	DL238
CN	0	17	37.82	JU1568	ED3005
CN	0	20	29.15	JU1568	ED3011
CN	0	16	36.00	JU1568	ED3012
CN	0	12	49.83	JU1568	ED3017
CN	0	17	37.29	JU1568	ED3040
CN	0	25	47.72	JU1568	ED3046
CN	0	14	37.43	JU1568	ED3048
CN	0	26	46.88	JU1568	ED3049
CN	0	21	45.62	JU1568	ED3052
CN	0	7	59.57	JU1568	ED3073
CN	0	9	44.22	JU1568	ED3077
CN	0	6	52.17	JU1568	EG4347
CN	0	17	37.24	JU1568	EG4349
CN	0	22	39.41	JU1568	EG4724
CN	0	26	24.31	JU1568	EG4725
CN	0	6	54.67	JU1568	EG4946
CN	0	15	42.33	JU1568	GXW1
CN	0	10	28.20	JU1568	JT11398
CN	0	9	44.22	JU1568	JU1088
CN	0	11	31.09	JU1568	JU1172
CN	0	12	43.67	JU1568	JU1200
CN	0	18	23.11	JU1568	JU1212
CN	0	29	42.48	JU1568	JU1213
CN	0	27	38.74	JU1568	JU1242
CN	0	24	32.04	JU1568	JU1246
CN	0	10	15.20	JU1568	JU1395
CN	0	22	52.82	JU1568	JU1400
CN	0	22	47.68	JU1568	JU1409
CN	0	16	22.75	JU1568	JU1440
CN	0	33	42.76	JU1568	JU1491
CN	0	18	47.56	JU1568	JU1530
CN	0	61	86.02	JU1580	AB1
CN	0	66	120.73	JU1580	AB4
CN	0	26	86.62	JU1580	CB4851_CGC
CN	0	49	117.69	JU1580	CB4852
CN	0	68	117.88	JU1580	CB4853
CN	0	47	56.89	JU1580	CB4854
CN	0	64	44.75	JU1580	CB4855_UK
CN	0	99	121.57	JU1580	CB4856
CN	0	68	55.21	JU1580	CB4857
CN	0	8	49.50	JU1580	CB4858_UK
CN	0	66	87.71	JU1580	CB4932
CN	0	52	38.08	JU1580	CX11254
CN	0	70	33.14	JU1580	CX11262
CN	0	79	102.73	JU1580	CX11264
CN	0	75	48.09	JU1580	CX11271
CN	25	56	39.57	JU1580	CX11276
CN	0	87	111.94	JU1580	CX11285
CN	0	63	73.21	JU1580	CX11292
CN	0	62	54.34	JU1580	CX11307
CN	0	62	42.65	JU1580	CX11314
CN	0	52	44.10	JU1580	CX11315
CN	0	88	30.62	JU1580	DL200
CN	0	60	63.83	JU1580	DL226
CN	0	100	90.94	JU1580	DL238
CN	0	68	68.44	JU1580	ED3005
CN	0	53	35.42	JU1580	ED3011
CN	0	26	43.54	JU1580	ED3012
CN	0	74	96.51	JU1580	ED3017
CN	0	63	115.57	JU1580	ED3040
CN	0	96	92.05	JU1580	ED3046
CN	0	63	57.86	JU1580	ED3048
CN	0	94	112.77	JU1580	ED3049
CN	0	65	69.74	JU1580	ED3052
CN	0	76	101.66	JU1580	ED3073
CN	0	80	82.75	JU1580	ED3077
CN	0	48	45.94	JU1580	EG4347
CN	0	96	40.34	JU1580	EG4349
CN	0	81	74.36	JU1580	EG4724
CN	0	77	27.30	JU1580	EG4725
CN	0	56	82.95	JU1580	EG4946
CN	0	64	71.27	JU1580	GXW1
CN	0	59	34.31	JU1580	JT11398
CN	0	43	72.07	JU1580	JU1088
CN	0	65	32.97	JU1580	JU1172
CN	0	13	107.69	JU1580	JU1200
CN	0	48	31.29	JU1580	JU1212
CN	0	105	50.63	JU1580	JU1213
CN	0	100	41.15	JU1580	JU1242
CN	0	79	43.51	JU1580	JU1246
CN	0	36	19.83	JU1580	JU1395
CN	0	79	86.76	JU1580	JU1400
CN	0	76	87.03	JU1580	JU1409
CN	0	70	26.41	JU1580	JU1440
CN	0	94	89.18	JU1580	JU1491
CN	0	77	77.65	JU1580	JU1530
CN	0	18	49.28	JU1580	JU1568
CN	0	89	73.76	JU1581	AB1
CN	0	81	115.19	JU1581	AB4
CN	0	38	80.24	JU1581	CB4851_CGC
CN	0	70	113.56	JU1581	CB4852
CN	0	83	110.77	JU1581	CB4853
CN	0	69	47.36	JU1581	CB4854
CN	0	83	40.60	JU1581	CB4855_UK
CN	0	110	114.16	JU1581	CB4856
CN	0	79	49.90	JU1581	CB4857
CN	0	8	43.62	JU1581	CB4858_UK
CN	0	89	84.62	JU1581	CB4932
CN	0	50	35.16	JU1581	CX11254
CN	0	65	32.17	JU1581	CX11262
CN	0	83	97.46	JU1581	CX11264
CN	0	77	45.65	JU1581	CX11271
CN	25	50	38.46	JU1581	CX11276
CN	0	102	105.75	JU1581	CX11285
CN	0	78	66.96	JU1581	CX11292
CN	0	61	50.11	JU1581	CX11307
CN	0	76	36.32	JU1581	CX11314
CN	0	48	38.67	JU1581	CX11315
CN	0	82	28.66	JU1581	DL200
CN	0	65	57.05	JU1581	DL226
CN	0	115	74.82	JU1581	DL238
CN	0	82	61.35	JU1581	ED3005
CN	0	64	31.41	JU1581	ED3011
CN	0	42	41.19	JU1581	ED3012
CN	0	89	92.04	JU1581	ED3017
CN	0	66	112.77	JU1581	ED3040
CN	0	115	84.04	JU1581	ED3046
CN	0	78	52.47	JU1581	ED3048
CN	0	114	102.35	JU1581	ED3049
CN	0	69	62.09	JU1581	ED3052
CN	0	102	95.47	JU1581	ED3073
CN	0	92	75.02	JU1581	ED3077
CN	0	62	44.32	JU1581	EG4347
CN	0	107	36.24	JU1581	EG4349
CN	0	94	67.96	JU1581	EG4724
CN	0	80	24.12	JU1581	EG4725
CN	0	69	77.41	JU1581	EG4946
CN	0	95	63.76	JU1581	GXW1
CN	0	66	32.82	JU1581	JT11398
CN	5	75	59.89	JU1581	JU1088
CN	0	79	30.04	JU1581	JU1172
CN	0	20	106.15	JU1581	JU1200
CN	0	43	25.93	JU1581	JU1212
CN	0	96	45.18	JU1581	JU1213
CN	0	90	39.51	JU1581	JU1242
CN	0	87	34.46	JU1581	JU1246
CN	0	51	18.63	JU1581	JU1395
CN	0	90	76.78	JU1581	JU1400
CN	0	99	77.78	JU1581	JU1409
CN	0	83	24.61	JU1581	JU1440
CN	0	115	84.44	JU1581	JU1491
CN	0	104	74.05	JU1581	JU1530
CN	0	27	40.19	JU1581	JU1568
CN	0	104	117.31	JU1581	JU1580
CN	0	34	68.59	JU1586	AB1
CN	0	15	100.60	JU1586	AB4
CN	0	24	74.58	JU1586	CB4851_CGC
CN	0	15	100.53	JU1586	CB4852
CN	0	18	99.17	JU1586	CB4853
CN	0	16	50.50	JU1586	CB4854
CN	0	22	43.14	JU1586	CB4855_UK
CN	0	35	84.49	JU1586	CB4856
CN	0	15	64.00	JU1586	CB4857
CN	0	10	44.40	JU1586	CB4858_UK
CN	0	43	72.86	JU1586	CB4932
CN	0	7	48.00	JU1586	CX11254
CN	0	12	33.75	JU1586	CX11262
CN	0	17	89.18	JU1586	CX11264
CN	0	22	49.41	JU1586	CX11271
CN	0	11	44.45	JU1586	CX11276
CN	0	26	93.50	JU1586	CX11285
CN	0	14	81.43	JU1586	CX11292
CN	0	9	62.67	JU1586	CX11307
CN	0	12	51.58	JU1586	CX11314
CN	0	14	41.64	JU1586	CX11315
CN	0	23	28.83	JU1586	DL200
CN	0	25	59.52	JU1586	DL226
CN	0	23	73.48	JU1586	DL238
CN	0	21	61.57	JU1586	ED3005
CN	0	17	29.88	JU1586	ED3011
CN	0	7	49.57	JU1586	ED3012
CN	0	22	82.91	JU1586	ED3017
CN	0	19	92.42	JU1586	ED3040
CN	0	23	85.70	JU1586	ED3046
CN	0	18	64.11	JU1586	ED3048
CN	0	23	95.04	JU1586	ED3049
CN	0	34	61.12	JU1586	ED3052
CN	0	19	96.68	JU1586	ED3073
CN	0	24	77.50	JU1586	ED3077
CN	0	8	49.00	JU1586	EG4347
CN	0	27	42.04	JU1586	EG4349
CN	0	21	76.62	JU1586	EG4724
CN	0	27	24.93	JU1586	EG4725
CN	0	15	86.00	JU1586	EG4946
CN	0	23	70.83	JU1586	GXW1
CN	0	15	32.13	JU1586	JT11398
CN	0	13	71.15	JU1586	JU1088
CN	0	10	36.90	JU1586	JU1172
CN	0	6	113.50	JU1586	JU1200
CN	0	19	27.42	JU1586	JU1212
CN	0	24	42.12	JU1586	JU1213
CN	0	22	41.41	JU1586	JU1242
CN	0	27	34.78	JU1586	JU1246
CN	0	17	19.18	JU1586	JU1395
CN	0	22	83.64	JU1586	JU1400
CN	0	22	86.50	JU1586	JU1409
CN	0	23	22.35	JU1586	JU1440
CN	0	21	77.29	JU1586	JU1491
CN	0	21	80.71	JU1586	JU1530
CN	0	13	39.38	JU1586	JU1568
CN	0	21	104.10	JU1586	JU1580
CN	0	33	84.61	JU1586	JU1581
CN	0	59	43.29	JU1652	AB1
CN	0	69	43.90	JU1652	AB4
CN	0	50	44.22	JU1652	CB4851_CGC
CN	0	44	45.84	JU1652	CB4852
CN	0	69	43.97	JU1652	CB4853
CN	0	53	45.21	JU1652	CB4854
CN	0	67	38.24	JU1652	CB4855_UK
CN	0	93	40.23	JU1652	CB4856
CN	0	69	41.71	JU1652	CB4857
CN	0	8	37.88	JU1652	CB4858_UK
CN	0	46	46.13	JU1652	CB4932
CN	0	61	34.34	JU1652	CX11254
CN	0	58	31.24	JU1652	CX11262
CN	0	66	42.21	JU1652	CX11264
CN	0	71	39.31	JU1652	CX11271
CN	0	69	36.68	JU1652	CX11276
CN	0	77	44.39	JU1652	CX11285
CN	0	62	42.65	JU1652	CX11292
CN	0	59	43.29	JU1652	CX11307
CN	0	71	38.25	JU1652	CX11314
CN	0	57	38.35	JU1652	CX11315
CN	0	52	27.90	JU1652	DL200
CN	0	84	43.99	JU1652	DL226
CN	0	80	40.54	JU1652	DL238
CN	0	82	41.70	JU1652	ED3005
CN	0	59	33.44	JU1652	ED3011
CN	0	50	41.44	JU1652	ED3012
CN	0	51	47.27	JU1652	ED3017
CN	0	81	44.12	JU1652	ED3040
CN	0	100	44.35	JU1652	ED3046
CN	0	70	40.53	JU1652	ED3048
CN	0	101	44.27	JU1652	ED3049
CN	0	77	43.56	JU1652	ED3052
CN	0	79	45.99	JU1652	ED3073
CN	0	83	44.28	JU1652	ED3077
CN	0	39	41.31	JU1652	EG4347
CN	0	94	34.21	JU1652	EG4349
CN	0	97	44.65	JU1652	EG4724
CN	0	83	26.73	JU1652	EG4725
CN	0	53	46.02	JU1652	EG4946
CN	0	64	43.33	JU1652	GXW1
CN	0	41	35.15	JU1652	JT11398
CN	0	60	42.78	JU1652	JU1088
CN	0	61	30.15	JU1652	JU1172
CN	0	21	46.52	JU1652	JU1200
CN	0	33	24.58	JU1652	JU1212
CN	0	75	40.48	JU1652	JU1213
CN	0	55	37.05	JU1652	JU1242
CN	0	54	33.20	JU1652	JU1246
CN	0	38	18.87	JU1652	JU1395
CN	0	84	43.24	JU1652	JU1400
CN	0	64	43.88	JU1652	JU1409
CN	0	56	26.95	JU1652	JU1440
CN	0	90	42.80	JU1652	JU1491
CN	0	63	44.98	JU1652	JU1530
CN	0	25	33.20	JU1652	JU1568
CN	0	63	46.06	JU1652	JU1580
CN	0	80	42.52	JU1652	JU1581
CN	0	21	46.24	JU1652	JU1586
CN	0	81	43.17	JU1896	AB1
CN	0	57	46.30	JU1896	AB4
CN	0	56	50.89	JU1896	CB4851_CGC
CN	0	54	46.57	JU1896	CB4852
CN	0	53	46.49	JU1896	CB4853
CN	0	47	44.87	JU1896	CB4854
CN	0	59	38.85	JU1896	CB4855_UK
CN	0	85	45.18	JU1896	CB4856
CN	0	51	42.47	JU1896	CB4857
CN	0	8	39.38	JU1896	CB4858_UK
CN	0	57	47.05	JU1896	CB4932
CN	0	27	39.04	JU1896	CX11254
CN	0	45	30.98	JU1896	CX11262
CN	0	53	45.58	JU1896	CX11264
CN	0	48	44.25	JU1896	CX11271
CN	25	32	35.75	JU1896	CX11276
CN	0	69	45.14	JU1896	CX11285
CN	0	52	43.88	JU1896	CX11292
CN	0	32	48.91	JU1896	CX11307
CN	0	52	38.42	JU1896	CX11314
CN	0	34	39.79	JU1896	CX11315
CN	0	33	30.82	JU1896	DL200
CN	0	59	46.86	JU1896	DL226
CN	0	87	46.70	JU1896	DL238
CN	0	61	46.10	JU1896	ED3005
CN	0	47	32.91	JU1896	ED3011
CN	0	61	41.49	JU1896	ED3012
CN	0	47	49.70	JU1896	ED3017
CN	0	42	52.02	JU1896	ED3040
CN	0	83	45.89	JU1896	ED3046
CN	0	49	45.18	JU1896	ED3048
CN	0	85	45.48	JU1896	ED3049
CN	0	47	50.43	JU1896	ED3052
CN	0	64	45.28	JU1896	ED3073
CN	0	49	48.37	JU1896	ED3077
CN	0	40	41.12	JU1896	EG4347
CN	0	70	34.83	JU1896	EG4349
CN	0	71	48.01	JU1896	EG4724
CN	0	60	25.35	JU1896	EG4725
CN	0	55	47.22	JU1896	EG4946
CN	0	65	43.94	JU1896	GXW1
CN	0	41	33.54	JU1896	JT11398
CN	0	49	45.24	JU1896	JU1088
CN	0	45	30.93	JU1896	JU1172
CN	0	27	51.44	JU1896	JU1200
CN	0	38	26.74	JU1896	JU1212
CN	0	49	43.59	JU1896	JU1213
CN	0	36	38.00	JU1896	JU1242
CN	0	41	34.24	JU1896	JU1246
CN	0	38	19.03	JU1896	JU1395
CN	0	68	43.53	JU1896	JU1400
CN	0	58	45.53	JU1896	JU1409
CN	0	51	24.25	JU1896	JU1440
CN	0	52	51.44	JU1896	JU1491
CN	0	50	43.72	JU1896	JU1530
CN	0	23	38.39	JU1896	JU1568
CN	0	44	52.09	JU1896	JU1580
CN	0	85	45.40	JU1896	JU1581
CN	0	32	47.09	JU1896	JU1586
CN	0	107	40.95	JU1896	JU1652
CN	0	97	33.45	JU2001	AB1
CN	0	93	36.17	JU2001	AB4
CN	0	36	38.72	JU2001	CB4851_CGC
CN	0	63	37.38	JU2001	CB4852
CN	14	103	36.10	JU2001	CB4853
CN	0	69	38.86	JU2001	CB4854
CN	0	99	35.00	JU2001	CB4855_UK
CN	0	163	36.35	JU2001	CB4856
CN	0	95	36.00	JU2001	CB4857
CN	0	9	37.22	JU2001	CB4858_UK
CN	0	97	38.24	JU2001	CB4932
CN	0	93	31.68	JU2001	CX11254
CN	0	105	29.55	JU2001	CX11262
CN	0	137	36.91	JU2001	CX11264
CN	0	97	36.89	JU2001	CX11271
CN	25	81	34.12	JU2001	CX11276
CN	0	143	36.82	JU2001	CX11285
CN	0	84	36.31	JU2001	CX11292
CN	0	101	36.88	JU2001	CX11307
CN	0	109	32.06	JU2001	CX11314
CN	0	87	33.43	JU2001	CX11315
CN	0	111	28.81	JU2001	DL200
CN	0	113	36.45	JU2001	DL226
CN	0	169	35.34	JU2001	DL238
CN	0	106	34.93	JU2001	ED3005
CN	0	79	32.00	JU2001	ED3011
CN	0	43	36.84	JU2001	ED3012
CN	0	85	39.48	JU2001	ED3017
CN	0	109	36.75	JU2001	ED3040
CN	14	134	36.11	JU2001	ED3046
CN	0	91	35.08	JU2001	ED3048
CN	0	130	36.21	JU2001	ED3049
CN	0	87	40.03	JU2001	ED3052
CN	0	112	36.84	JU2001	ED3073
CN	0	113	37.62	JU2001	ED3077
CN	0	55	36.40	JU2001	EG4347
CN	0	139	31.47	JU2001	EG4349
CN	0	148	36.59	JU2001	EG4724
CN	0	126	24.71	JU2001	EG4725
CN	0	74	36.43	JU2001	EG4946
CN	0	94	36.77	JU2001	GXW1
CN	0	65	31.34	JU2001	JT11398
CN	0	85	37.58	JU2001	JU1088
CN	0	91	28.85	JU2001	JU1172
CN	0	19	38.84	JU2001	JU1200
CN	0	44	24.57	JU2001	JU1212
CN	0	115	37.63	JU2001	JU1213
CN	0	121	35.57	JU2001	JU1242
CN	0	74	32.65	JU2001	JU1246
CN	0	45	18.64	JU2001	JU1395
CN	0	146	37.07	JU2001	JU1400
CN	0	113	37.65	JU2001	JU1409
CN	0	91	24.22	JU2001	JU1440
CN	0	143	37.25	JU2001	JU1491
CN	0	103	39.18	JU2001	JU1530
CN	0	38	33.71	JU2001	JU1568
CN	0	112	41.02	JU2001	JU1580
CN	0	134	37.78	JU2001	JU1581
CN	0	33	35.24	JU2001	JU1586
CN	0	98	35.02	JU2001	JU1652
CN	0	77	34.74	JU2001	JU1896
CN	0	96	61.53	JU2007	AB1
CN	0	104	70.88	JU2007	AB4
CN	0	13	64.77	JU2007	CB4851_CGC
CN	0	87	68.39	JU2007	CB4852
CN	0	106	66.18	JU2007	CB4853
CN	0	80	49.34	JU2007	CB4854
CN	0	93	41.01	JU2007	CB4855_UK
CN	0	97	69.98	JU2007	CB4856
CN	0	92	45.23	JU2007	CB4857
CN	0	1	24.00	JU2007	CB4858_UK
CN	0	61	69.54	JU2007	CB4932
CN	0	58	35.83	JU2007	CX11254
CN	0	81	31.22	JU2007	CX11262
CN	0	92	70.92	JU2007	CX11264
CN	0	95	45.94	JU2007	CX11271
CN	25	58	37.43	JU2007	CX11276
CN	0	116	68.20	JU2007	CX11285
CN	0	103	60.49	JU2007	CX11292
CN	0	66	48.67	JU2007	CX11307
CN	0	91	39.09	JU2007	CX11314
CN	0	52	41.06	JU2007	CX11315
CN	0	70	27.97	JU2007	DL200
CN	0	88	53.53	JU2007	DL226
CN	0	100	59.19	JU2007	DL238
CN	0	102	56.58	JU2007	ED3005
CN	0	65	32.94	JU2007	ED3011
CN	0	37	41.11	JU2007	ED3012
CN	0	86	73.49	JU2007	ED3017
CN	0	86	73.53	JU2007	ED3040
CN	0	134	67.46	JU2007	ED3046
CN	0	101	49.02	JU2007	ED3048
CN	0	139	67.32	JU2007	ED3049
CN	0	77	60.57	JU2007	ED3052
CN	0	107	68.93	JU2007	ED3073
CN	0	113	67.02	JU2007	ED3077
CN	0	64	41.11	JU2007	EG4347
CN	16	119	35.39	JU2007	EG4349
CN	0	110	63.03	JU2007	EG4724
CN	0	88	25.11	JU2007	EG4725
CN	0	98	66.20	JU2007	EG4946
CN	0	106	61.60	JU2007	GXW1
CN	0	60	36.52	JU2007	JT11398
CN	5	86	56.29	JU2007	JU1088
CN	0	91	29.59	JU2007	JU1172
CN	0	25	77.84	JU2007	JU1200
CN	0	23	28.65	JU2007	JU1212
CN	0	94	44.91	JU2007	JU1213
CN	0	74	38.09	JU2007	JU1242
CN	0	51	34.71	JU2007	JU1246
CN	0	55	18.84	JU2007	JU1395
CN	0	90	67.09	JU2007	JU1400
CN	0	111	66.32	JU2007	JU1409
CN	0	90	25.86	JU2007	JU1440
CN	0	87	71.72	JU2007	JU1491
CN	0	103	63.01	JU2007	JU1530
CN	0	18	36.28	JU2007	JU1568
CN	0	93	78.28	JU2007	JU1580
CN	0	107	71.83	JU2007	JU1581
CN	0	21	78.24	JU2007	JU1586
CN	0	71	41.51	JU2007	JU1652
CN	0	67	45.25	JU2007	JU1896
CN	0	111	35.32	JU2007	JU2001
CN	0	64	22.45	JU2464	AB1
CN	0	96	22.62	JU2464	AB4
CN	0	23	23.52	JU2464	CB4851_CGC
CN	0	61	23.21	JU2464	CB4852
CN	0	92	23.63	JU2464	CB4853
CN	0	75	25.80	JU2464	CB4854
CN	0	106	22.86	JU2464	CB4855_UK
CN	0	91	23.69	JU2464	CB4856
CN	0	98	23.39	JU2464	CB4857
CN	0	1	24.00	JU2464	CB4858_UK
CN	0	60	24.33	JU2464	CB4932
CN	0	68	22.69	JU2464	CX11254
CN	0	78	23.60	JU2464	CX11262
CN	0	85	23.41	JU2464	CX11264
CN	0	75	24.33	JU2464	CX11271
CN	25	80	22.77	JU2464	CX11276
CN	0	107	23.50	JU2464	CX11285
CN	0	88	23.76	JU2464	CX11292
CN	0	77	23.52	JU2464	CX11307
CN	0	87	22.57	JU2464	CX11314
CN	0	66	22.94	JU2464	CX11315
CN	0	76	24.12	JU2464	DL200
CN	0	94	23.43	JU2464	DL226
CN	0	91	23.34	JU2464	DL238
CN	0	100	22.83	JU2464	ED3005
CN	0	93	22.01	JU2464	ED3011
CN	0	55	22.40	JU2464	ED3012
CN	0	65	24.18	JU2464	ED3017
CN	0	75	25.08	JU2464	ED3040
CN	0	118	22.78	JU2464	ED3046
CN	0	93	23.69	JU2464	ED3048
CN	0	119	22.67	JU2464	ED3049
CN	0	95	24.64	JU2464	ED3052
CN	0	93	24.75	JU2464	ED3073
CN	0	104	24.25	JU2464	ED3077
CN	0	51	21.92	JU2464	EG4347
CN	0	95	23.84	JU2464	EG4349
CN	0	93	24.61	JU2464	EG4724
CN	0	90	22.60	JU2464	EG4725
CN	0	72	22.85	JU2464	EG4946
CN	0	93	23.77	JU2464	GXW1
CN	0	58	25.00	JU2464	JT11398
CN	5	87	24.28	JU2464	JU1088
CN	0	92	21.92	JU2464	JU1172
CN	0	28	24.39	JU2464	JU1200
CN	0	28	19.61	JU2464	JU1212
CN	0	77	24.34	JU2464	JU1213
CN	0	82	23.67	JU2464	JU1242
CN	0	55	24.05	JU2464	JU1246
CN	0	47	17.66	JU2464	JU1395
CN	0	86	24.26	JU2464	JU1400
CN	0	98	23.60	JU2464	JU1409
CN	0	80	21.14	JU2464	JU1440
CN	0	100	23.80	JU2464	JU1491
CN	0	82	24.00	JU2464	JU1530
CN	0	30	21.43	JU2464	JU1568
CN	0	79	25.06	JU2464	JU1580
CN	0	96	22.79	JU2464	JU1581
CN	0	17	24.82	JU2464	JU1586
CN	0	73	23.68	JU2464	JU1652
CN	0	61	23.25	JU2464	JU1896
CN	0	106	23.40	JU2464	JU2001
CN	0	84	22.74	JU2464	JU2007
CN	0	81	60.88	JU258	AB1
CN	0	92	70.54	JU258	AB4
CN	0	54	70.28	JU258	CB4851_CGC
CN	0	67	66.63	JU258	CB4852
CN	0	88	68.31	JU258	CB4853
CN	0	74	46.26	JU258	CB4854
CN	0	94	39.44	JU258	CB4855_UK
CN	0	151	78.21	JU258	CB4856
CN	0	87	45.91	JU258	CB4857
CN	0	10	38.30	JU258	CB4858_UK
CN	0	73	68.77	JU258	CB4932
CN	0	74	31.43	JU258	CX11254
CN	0	94	29.50	JU258	CX11262
CN	0	115	69.87	JU258	CX11264
CN	0	81	42.44	JU258	CX11271
CN	25	73	33.15	JU258	CX11276
CN	0	120	70.35	JU258	CX11285
CN	0	76	56.57	JU258	CX11292
CN	0	86	49.30	JU258	CX11307
CN	0	103	35.56	JU258	CX11314
CN	0	75	35.96	JU258	CX11315
CN	0	102	26.80	JU258	DL200
CN	0	101	52.91	JU258	DL226
CN	0	149	70.69	JU258	DL238
CN	0	113	54.66	JU258	ED3005
CN	0	78	30.59	JU258	ED3011
CN	0	62	40.84	JU258	ED3012
CN	0	88	73.97	JU258	ED3017
CN	0	86	75.76	JU258	ED3040
CN	0	153	66.82	JU258	ED3046
CN	0	73	47.34	JU258	ED3048
CN	0	157	73.42	JU258	ED3049
CN	0	87	57.48	JU258	ED3052
CN	0	100	73.29	JU258	ED3073
CN	0	123	60.18	JU258	ED3077
CN	0	56	41.96	JU258	EG4347
CN	0	152	34.06	JU258	EG4349
CN	0	173	59.58	JU258	EG4724
CN	0	148	24.10	JU258	EG4725
CN	0	82	58.80	JU258	EG4946
CN	0	98	56.80	JU258	GXW1
CN	0	57	31.72	JU258	JT11398
CN	5	77	56.66	JU258	JU1088
CN	0	86	28.22	JU258	JU1172
CN	0	20	76.15	JU258	JU1200
CN	0	69	26.86	JU258	JU1212
CN	0	141	42.86	JU258	JU1213
CN	0	86	37.52	JU258	JU1242
CN	0	94	35.03	JU258	JU1246
CN	0	44	18.52	JU258	JU1395
CN	0	129	66.14	JU258	JU1400
CN	0	105	63.35	JU258	JU1409
CN	0	86	23.77	JU258	JU1440
CN	0	99	66.00	JU258	JU1491
CN	0	110	60.15	JU258	JU1530
CN	0	26	41.50	JU258	JU1568
CN	0	100	90.06	JU258	JU1580
CN	0	118	74.26	JU258	JU1581
CN	0	27	73.26	JU258	JU1586
CN	0	104	42.13	JU258	JU1652
CN	0	86	45.35	JU258	JU1896
CN	0	146	35.93	JU258	JU2001
CN	0	117	59.56	JU258	JU2007
CN	0	99	21.83	JU258	JU2464
CN	0	78	73.01	JU310	AB1
CN	0	101	96.10	JU310	AB4
CN	0	16	77.19	JU310	CB4851_CGC
CN	0	87	95.83	JU310	CB4852
CN	0	101	94.38	JU310	CB4853
CN	0	79	48.49	JU310	CB4854
CN	0	88	40.14	JU310	CB4855_UK
CN	0	90	98.73	JU310	CB4856
CN	0	97	49.07	JU310	CB4857
CN	0	7	32.57	JU310	CB4858_UK
CN	0	65	84.94	JU310	CB4932
CN	0	52	36.10	JU310	CX11254
CN	0	71	29.99	JU310	CX11262
CN	0	80	91.04	JU310	CX11264
CN	0	85	44.78	JU310	CX11271
CN	25	65	38.98	JU310	CX11276
CN	0	106	92.98	JU310	CX11285
CN	0	100	63.34	JU310	CX11292
CN	0	66	50.39	JU310	CX11307
CN	0	86	37.23	JU310	CX11314
CN	0	49	40.06	JU310	CX11315
CN	0	106	28.91	JU310	DL200
CN	0	79	57.11	JU310	DL226
CN	0	95	70.05	JU310	DL238
CN	0	90	59.54	JU310	ED3005
CN	0	67	32.63	JU310	ED3011
CN	0	26	44.77	JU310	ED3012
CN	0	93	88.41	JU310	ED3017
CN	0	68	98.41	JU310	ED3040
CN	0	127	80.44	JU310	ED3046
CN	0	84	51.62	JU310	ED3048
CN	0	125	90.74	JU310	ED3049
CN	0	83	61.39	JU310	ED3052
CN	0	117	89.46	JU310	ED3073
CN	0	123	70.93	JU310	ED3077
CN	0	67	43.30	JU310	EG4347
CN	0	114	35.11	JU310	EG4349
CN	0	94	67.81	JU310	EG4724
CN	0	82	25.34	JU310	EG4725
CN	0	90	75.80	JU310	EG4946
CN	0	99	62.82	JU310	GXW1
CN	0	60	34.25	JU310	JT11398
CN	5	83	57.67	JU310	JU1088
CN	0	90	29.66	JU310	JU1172
CN	0	13	120.38	JU310	JU1200
CN	0	21	26.29	JU310	JU1212
CN	0	88	47.56	JU310	JU1213
CN	0	83	40.96	JU310	JU1242
CN	0	49	35.90	JU310	JU1246
CN	0	51	18.98	JU310	JU1395
CN	0	108	75.58	JU310	JU1400
CN	0	101	77.56	JU310	JU1409
CN	0	82	25.06	JU310	JU1440
CN	0	85	84.35	JU310	JU1491
CN	0	174	73.03	JU310	JU1530
CN	0	18	47.94	JU310	JU1568
CN	0	84	103.06	JU310	JU1580
CN	0	115	97.57	JU310	JU1581
CN	0	24	92.00	JU310	JU1586
CN	0	64	44.19	JU310	JU1652
CN	0	54	43.69	JU310	JU1896
CN	0	111	38.93	JU310	JU2001
CN	0	112	69.31	JU310	JU2007
CN	0	87	23.76	JU310	JU2464
CN	0	110	71.65	JU310	JU258
CN	0	54	70.30	JU311	AB1
CN	0	51	106.47	JU311	AB4
CN	0	35	81.86	JU311	CB4851_CGC
CN	0	42	123.17	JU311	CB4852
CN	0	50	104.10	JU311	CB4853
CN	0	36	50.00	JU311	CB4854
CN	0	62	40.60	JU311	CB4855_UK
CN	0	72	103.46	JU311	CB4856
CN	0	55	52.38	JU311	CB4857
